,ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
0,100000001,Male,Single,90,University,124670,Skilled employee/Official,Big city
1,100000002,Female,Non-single,22,High school,150773,Skilled employee/Official,Big city
2,100000003,Male,Single,49,High school,89210,Unemployed,Small city
3,100000004,Male,Single,45,High school,171565,Skilled employee/Official,Mid-sized city
4,100000005,Male,Sinle,53,High school,149031,Skilled employee/Official,Mid-sized city
5,100000006,Male,Single,35,High school,,Unemployed,Small city
6,100000007,Male,Single,53,High school,156495,Skilled employee/Official,Mid-sized city
7,100000008,Male,Single,35,High school,193621,Management/High qualified employee,Mid-sized city
8,100000009,Male,Non-single,61,University,151591,Unemployed,Small city
9,100000010,Male,Non-single,28,High school,,Management/High qualified employee,Medium sized city
10,100000011,Female,Non-single,25,High school,108469,Skilled employee/Official,Small city
11,100000012,Female,Non-single,24,High school,127596,Skilled employee/Official,Medium sized city
12,100000013,Female,Non-single,22,High school,108687,Skilled employee/Official,Big city
13,100000014,Male,Single,60,University,89374,Unemployed,Small city
14,100000015,Female,Non-single,28,High school,102899,Skilled employee/Official,Mid-sized city
15,100000016,Female,Non-single,32,High school,88428,Unemployed,Small city
16,100000017,Male,Single,53,High school,125550,Skilled employee/Official,Small city
17,100000018,Male,Single,25,Unknown,157434,Skilled employee/Official,Big city
18,100000019,Female,Non-single,44,University,261952,Management/High qualified employee,Big city
19,100000020,Male,Single,31,Unknown,144657,Skilled employee/Official,Mid-sized city
20,100000021,Male,Single,48,High school,118777,Skilled employee/Official,Mid-sized city
21,100000022,Male,Single,44,High school,147511,Skilled employee/Official,Mid-sized city
22,100000023,Male,Single,48,High school,,Unemployed,Small city
23,100000024,Male,Single,,High school,134918,Skilled employee/Official,Big city
24,100000025,Male,Non-single,26,High school,103667,Skilled employee/Official,Big city
25,100000026,Male,Single,36,High school,71909,Unemployed,Small city
26,100000027,Male,Non-single,,High school,68264,Unemployed,Small city
27,100000028,Female,Non-single,42,University,,Skilled employee/Official,Mid-sized city
28,100000029,Male,Single,34,High school,119307,Skilled employee/Official,Mid-sized city
29,100000030,Male,Single,63,University,175882,Skilled employee/Official,Small city
30,100000031,Male,Non-single,36,High school,159646,Skilled employee/Official,Mid-sized city
31,100000032,Male,Single,27,Unknown,120131,Skilled employee/Official,Mid-sized city
32,100000033,Male,Single,30,Unknown,162745,Skilled employee/Official,Big city
33,100000034,Male,Single,57,University,,Unemployed,
34,100000035,Female,Non-single,33,High school,155569,Management/High qualified employee,Mid-sized city
35,100000036,Male,Single,25,Unknown,104505,Unemployed,Small city
36,100000037,Male,Single,31,Unknown,143385,Skilled employee/Official,Big city
37,100000038,Male,Single,37,High school,127676,Skilled employee/Official,Mid-sized city
38,100000039,Male,Single,37,High school,119276,Skilled employee/Official,Mid-sized city
39,100000040,Male,Single,24,Unknown,92542,Skilled employee/Official,Mid-sized city
